,id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count,size
10,12473,,HOTEL MARLBOROUGH,CAFE LUNCHEON,COMMERCIAL,"[NEW YORK, NY]",CARD; ILLUS; COL; 4.25X5.5;,,HOTEL CREST IN BLUE;,1900-2843,,,1900-04-17,Hotel Marlborough,,,,complete,2,19,4.25
11,12474,,ALPHA OF ZETA PSI,ANNUAL BANQUET,COMMERCIAL,"DELMONICO'S, [NEW YORK, NY];",BOOKLET; ILLUS; COL; 5.5X7.0;,,"VELLUM COVER; CREST OF ZETA PSI; TIED WITH BLUE SATIN RIBBON; PRICED WINE LIST; ALPHA CHAPTER OFFICERS; BANQUET COMMITTEE; TOASTS; LYRICS TO ""ZETA PSI, WE PLEDGE TO-NIGHT"" , A POEM, ""THE BADGE OF ZETA PSI""; LYRICS OF ""NEATH THE ARCH OFZETA'S TEMPLE"", AND ",1900-2844,,,1900-04-17,Alpha Of Zeta Psi,,Dollars,$,complete,12,38,5.5
12,12475,,MANHATTAN HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,,A LA CARTE DU JOUR; HOTEL SEAL AT TOP OF MENU;,1900-2847,,,1900-04-18,Manhattan Hotel,,Dollars,$,complete,2,176,6.0
13,12476,,PACIFIC MAIL STEAMSHIP COMPANY,DINNE,COMMERCIAL,"S.S. ""CITY OF PARA""",FOLDER; ILLUS; 6X9.25;,,DECORATIVE BORDER;,1900-2849,,,1900-04-18,Pacific Mail Steamship Company,,,,complete,4,21,6.0
14,12477,,OCCIDENTAL & ORIENTAL,BREAKFAST,COMMERCIAL,"S.S. ""DORIC""",BROADSIDE; ILLUS; 5.5X8.5;,,HANDWRITTEN; STEAMSHIP COMPANY FLAG AT TOP OF MENU;,1900-2851,,,1900-04-18,Occidental & Oriental,,,,complete,2,24,5.5
15,12478,,,,,,,,,,,,1900-04-18,Occidental & Oriental,,,,complete,2,24,
16,12479,,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,"S.S. ""DORIC""",FOLDER; ILLUS; 5.5X8.5;,,HANDWRITTEN; MARITIME INSIGNIA ON COVER;,1900-2852,,,1900-04-18,Occidental & Oriental Steamship Company,,,,complete,4,44,5.5
17,12480,,CANADIAN PACIFIC RAILWAY COMPANY,BREAKFAST,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.5X7;,,MENU ITEMS NUMBERED; COMPANY FLAG AT TOP OF MENU;,1900-2854,,,1900-04-18,Canadian Pacific Railway Company,,,,complete,2,37,4.5
18,12481,,CANADIAN PACIFIC RAILWAY COMPANY,LUNCHEON,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.5X7;,,MENU ITEMS NUMBERED; COMPANY FLAG AT TOP OF MENU;,1900-2855,,,1900-04-18,Canadian Pacific Railway Company,,,,complete,2,42,4.5
19,12482,,NOVIOMAGUS,DINNER,,"FREEMASONS' TAVERN, [LONDON, ENGLAND]",CARD; 4.25X6.25;,,FRENCH; [LOCATION INFO HANDWRITTEN ON BACK OF MENU];,1900-2856,,,1900-04-18,Noviomagus,,,,complete,2,16,4.25
20,12483,,MANHATTAN HOTEL,CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,,A LA CARTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-2859,,,1900-04-18,Manhattan Hotel,,Dollars,$,complete,2,129,6.0
21,12484,,BOSTON BOOT & SHOE CLUB,ANNUAL MEETING,COMMERCIAL,"BRUNSWICK HOTEL, BOSTON, MA",FOLDER; ILLUS; COL; 4.5X6.5;,,PROGRAM & COMMITTEE LISTED; DECORATIVE WREATH & EMBLEMS; SILK RIBBON ATTACHMENT;,1900-2861,,,1900-04-18,Boston Boot & Shoe Club,,,,complete,6,24,4.5
22,12485,,CANADIAN PACIFIC RAILWAY,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,,ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2869,,,1900-04-19,Canadian Pacific Railway,,,,complete,2,36,4.5
23,12486,,HOTEL SAVOY,DINNER,COMMERCIAL,NEW YORK,CARD; ILLUS; COL; 3.25 X 8.5;,,FRENCH; ILLUSTRATION OF MAN AND WOMAN IN COLONIAL DRESS;,1900-2872,,,1900-04-19,Hotel Savoy,,,,complete,2,15,3.25
24,12487,,PACIFIC MAIL STEAMSHIP CO.,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,FOLDER; 6 X 9;,,MENU TYPED IN ENGLISH; ORNAMENTAL BORDER;,1900-2875,,,1900-04-19,Pacific Mail Steamship Co.,,,,complete,2,13,6.0
25,12488,,CHI PSI FRATERNITY,BANQUET OF THE FIFTY NINTH ANNUAL CONVENTION,SOC;,"HOLLAND HOUSE, NEW YORK CITY",BOOKLET; ILLUS; 5 X 7.25;,ANNIVERSARY;,FRENCH; EMBOSSED FRATERNITY LETTERS IN GOLD AND BLUE; GOLD AND BLUE RIBBONS; TOASTS;,1900-2876,,,1900-04-20,Chi Psi Fraternity,,,,complete,4,19,5.0
26,12489,,COLBY ALUMNI ASSOCIATION OF NEW YORK,FIFTH ANNUAL REUNION,SOC;,ST. DENIS HOTEL (NEW YORK?),FOLDER; ILLUS; 4 X 5.5;,ANNIVERSARY;,PHOOGRAPH OF ALUMNI CHEMICAL LABORATORY ON COVER; LOGO OF ALUMNI ASSOCIATION ON BACK COVER;,1900-2877,,,1900-04-20,Colby Alumni Association Of New York,,,,complete,4,21,4.0
27,12490,,HOTEL IMPERIAL,DINNER,COMMERCIAL,"(VIENNA, AUSTRIA ?)",CARD; ILLUS; COL; 4.5 X 8;,,GERMAN; WINES; ILLUSTRATION OF WOMAN'S HEAD; FLORAL BORDER;,1900-2882,,,1900-04-20,Hotel Imperial,,,,complete,2,16,4.5
28,12491,,WHITEFRIARS CLUB,SHAKEPEARE COMMEMORATION,SOC;,"ANDERTON'S HOTEL, FLEET STREET, E.C. (ENGLAND?)",CARD; ILLUS; 4.5 X 6.25;,ANNIVERSARY;,FRENCH; ILLUSTRATION OF FRIAR WITH MUSES; ORNAMENTAL BORDER;,1900-2889,,,1900-04-20,Whitefriars Club,,,,complete,2,13,4.5
29,12492,,WILSON COLLEGE ALUMNAE ASSOCIATION,DINNER,EDUC;,HOEL FLANDERS,"BOOKLET, ILLUS; COL; 5 X 6.25;",ANNIVERSARY;,"PORTRAIT OF HEAD OF COLONIAL WOMAN; SPEECHES; PALE BLUE, WHITE RIBBONS;",1900-2890,,,1900-04-20,Wilson College Alumnae Association,,,,complete,10,14,5.0
30,12493,,CANADIAN PACIFIC RAILWAY,LUNCH,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,,ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2891,,,1900-04-20,Canadian Pacific Railway,,,,complete,2,39,4.5
31,12494,,KNIGHTS OF REVELRY,26TH ANNIVERSARY BANQUET,SOC;,"GERMAN RELIEF HALL, MOBILE AL",BOOKLET; ILLUS; 4.5 X 6.5;,ANNIVERSARY;,WINES; OYSTER AND FORK ON COVER; THEATRICAL MAKS ON INSIDE PAGE;,1900-2892,,,1900-04-21,Knights Of Revelry,,,,complete,8,22,4.5
32,12495,,VETERANS AMERICAN GUARD,TWENTY-NINTH ANNUAL DINNER,MIL;,ST. DENNIS HOTEL,BOOKLET; ILLUS; 4 X 5.5;,ANNIVERSARY;,EMBOSSED LOGO ON COVER; SPEECHES;,1900-2893,,,1900-04-20,Veterans American Guard,,,,complete,8,20,4.0
33,12497,,CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,CARD; 4.25 X 6.5;,,CUNARD LINE LOGO; PRICED WINE LIST ON BACK WITH PRICES IN BRITISH CURRENCY;,1900-2902,,,1900-04-21,Canadian Pacific Railway Company,,,,complete,2,38,4.25
34,12498,,CAFE BOULEVARD,SUNDAY DINNER,COMMERCIAL,156 SECOND AVENUE (NY?),CARD; COL; ILLUS; 5 X 7;,,PRIX FIXE DINNER; FOOD APPEARS TO BE HUNGARIAN;PALE BLUE; ORNAMENTAL BORDER;,1900-2903,,,1900-04-22,Cafe Boulevard,,Cents,c,complete,2,17,5.0
35,12499,,PACIFIC MAIL STEAMSHIP CO.,LUNCH;,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,BROADSIDE; 6 X 9;,,ORNAMENTAL BORDER;,1900-2909,,,1900-04-22,Pacific Mail Steamship Co.,,,,complete,2,14,6.0
36,12500,,MORNING NEWSPAPER BOWLING LEAGUE,SECOND ANNUAL DINNER,SOC;,MOUQUIN'S,CARD;COL;4X6.5;,ANNIVERSARY;,,1900-2911,,,1900-04-22,Morning Newspaper Bowling League,,,,complete,2,23,4.0
37,12501,,CUNARD LINE,BREAKFAST,COMMERCIAL,RMS LUCANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,WINE LIST ON BACK;FLAG;,1900-2917,,,1900-04-23,Cunard Line,,,,complete,2,97,4.25
38,12502,,CUNARD LINE,LUNCHEON,COMMERCIAL,RMS LUCANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,WINE LIST ON BACK;FLAG;,1900-2918,,,1900-04-23,Cunard Line,,,,complete,2,90,4.25
39,12503,,POLICE DEPARTMENT OF THE CITY OF NEW YORK,SEVENTH ANNUAL DINNER,GOVT;,DELMONICO'S,FOL; 4.75 x 7.25;,,"SEAL ON COVER; FRENCH; INCLUDES WINES SERVED WITH EACH COURSE; LIST OF NAMES OF SUPERINTENDENT, INSPECTORS AND PRECINCT CAPTAINS",1888-0010,,,1888-01-23,Police Department Of The City Of New York,,,,complete,3,30,4.75 x 7.25
40,12504,,U.S.M.S. NEW YORK,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; 4 X 6.25;,,FLAG; PRICED WINE LIST AND EXCHANGE RATES ON BACK;,1900-1131,,,1900-02-18,U.S.M.S. New York,,Dollars,$,complete,2,99,4.0
41,12505,,BARTHOLDI HOTEL,BREAKFAST,COMMERCIAL,NY,BROADSIDE; COL; 7 X 11.75;,DAILY,VERY POOR CONDITION;,1900-1137,,,1900-02-18,Bartholdi Hotel,,Dollars,$,complete,2,203,7.0
42,12506,,BARTHOLDI HOTEL,LUNCH & DINNER,COMMERCIAL,23RD ST & BWAY NY,FOLDER; ILLUS;8.25 X 14;,DAILY,MANY ITEMS HANDWRITTEN; HOURS INCLUDED;,1900-1138,,,1900-02-18,Bartholdi Hotel,,Dollars,$,complete,4,336,8.25
43,12507,,HAAN'S,SUPPER,COMMERCIAL,75 ST. & COLUMBUS AVE. NY,BROADSHEET; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-1140,,,1900-02-19,Haan's,,Dollars,$,complete,2,392,7.0
44,12508,,MARIE ANTOINETTE HOTEL,LUNCHEON,COMMERCIAL,66 ST. & BWAY. NY,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;,DAILY,,1900-1141,,,1900-02-19,Marie Antoinette Hotel,,Dollars,$,complete,2,82,4.5
45,12509,,RED STAR LINE - S.S.SOUTHWARK,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,MENU HANDWRITTEN;WINE LIST ON BACK;,1900-1169,,,1900-02-20,Red Star Line   S.S.Southwark,,Francs,FF,complete,2,56,5.0
46,12510,,MARIE ANTOINETTE HOTEL,DINNER,COMMERCIAL,66 ST. & B'WAY. NY,BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;,DAILY,,1900-1173,,,1900-02-20,Marie Antoinette Hotel,,Dollars,$,complete,2,128,6.5
47,12511,,THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY,ANNUAL DINNER,POL;,"HOTEL SAVOY,NEW YORK,NY",BOOKLET;ILL;COL;4.25X6.25;,ANNIVERSARY;,WINES SERVED;INDIVIDUAL'S NAME ON FRONT COVER;FOUR STANZAS OF THE STAR SPANGLED BANNER WRITTEN OUT;NAMES;SEATING PLAN ATTACHED;,1900-1174,,,1900-02-20,Third Panel Sheriff's Jury New York County,,,,complete,12,35,4.25
48,12515,,THE ALBANY,LUNCH,?,"DENVER, COLO;",CARD;3.5 X 5;,,,1888-0611,,,1888-10-15,The Albany,,,,complete,2,30,3.5
49,12516,,REVERE HOUSE,COMPLIMENTARY BANQUET GIVEN BY THE CITY GOVERNMENT OF BOSTON TO THE BOARDS OF TRADE OF THE WESTERN CITIES,RESTAURANT,"BOSTON, MA",BROADSIDE; ILLUS; 4.25 X 11.75,,MENU PRINTED IN BLACK ON CREAM SILK RIBBON WITH OVERSEWN SIDES; UNPRICED; ILLUSTRATION OF CITY AND COMMERCE SCENES; OUT OF PLACE MENU,1865-0001,,,1865-09-28,Parker House,,Dollars,$,complete,4,422,4.25
50,12517,,NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER (UNUSUAL),FEST-BANKETT,RESTAURANT,DER LIEDERKRANZ HALLE,BOOKLET; ILLUS; COL; 6 X 7.5,,MENU IS IN GERMAN; FOOD SELECTIONS REPRESENT VARIOUS REGIONS OF JOURNALISM IN EUROPE AND AMERICA; WINES ARE IN RED IN THE MARGIN NEXT TO APPROPRIATE COURSE; SCHEDULE OF MUSIC AND SPEAKERS IS LISTED; COVER HAS LIGHT BROWN SKETCH OF A JOURNALIST'S DESK WITH,1892-0112,,,1892-05-19,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (Unusual),,,,complete,2,21,6.0
51,12518,,COLUMBIA RESTAURANT,DAILY MENU,COMMERCIAL,"48 EAST 14TH STREET,[NEW YORK,NY?]",FOLDER;ILLUS;7.25X11.5;,DAILY;,2 COPIES;WINE LIST;,1901-1527,,,1901-06-03,Columbia Restaurant,,Dollars,$,complete,4,475,7.25
52,12519,,MRS CLUFF,LUNCH,OTHER (PRIVATE PARTY);,"RED ROOM,BOHEMIAN CLUB",FOLDER;ILLUS;COL;3.5X7.25;,,MOTHER HOLDING CHILD ON LAP TEASING WITH RATTLE;WINES;,1901-1533,,,1901-06-04,Mrs Cluff,,,,complete,4,15,3.5
53,12520,,BAILY CATERING CO.THE,LUNCHEON,COMMERCIAL,"MIRROR LAKE PERGOLA,PAN-AMERICAN EXPOSITION",BOOKLET;ILLUS;COL;4.25X3.5;,OTHER (COMPLIMENTARY);,DELICATELY CUT OUT FLOWERS ON SHORTENED FRONT COVER; RIBBON AT LEFT;,1901-1534,,,1901-06-05,Baily Catering Co.The,,,,complete,7,18,4.25
54,12522,,NORTHERN STEAMSHIP CO.,BREAKFAST,COMMERCIAL,GREAT NORTHERN RY. LINE,BOOKLET;ILLUS;COL;3X3.75;,DAILY;,INDIVIDUAL CLUB BREAKFAST;HANDWRITTEN DATE 1901;PRICES SEEM HIGH FOR THIS DATE;,1901-1536,,,1901-01-01,Northern Steamship Co.,,,,complete,4,12,3.0
55,12523,,CITIZENS'STEAMBOAT COMPANY,LUNCH,COMMERCIAL,"STEAMER SARATOGA,TROY LINE",BOOKLET;ILLUS;COL;6.25X9;,DAILY;,AU SABLE CHASM ON FRONT COVER;BLUE MOUNTAIN LAKE ON BACK COVER;PRICED WINE LIST;,1901-1537,,,1901-01-01,Citizens'steamboat Company,,Dollars,$,complete,8,246,6.25
56,12524,,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA,DINNER,COMMERCIAL,"COUNTRY CLUB,GROSSE POINTE,MI",FOLDER;ILLUS;COL;4X7.5;,,WINES;BUILDING ILLUSTRATED;,1901-1538,,,1901-06-05,National Association Of Manufacturers Of The United States Of America,,,,complete,4,18,4.0
57,12525,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""COLUMBIA""",FOLDER; ILLUS; COL; 4.5X7;,OTHER (DAILY);,GERMAN & ENGLISH; SKETCH OF STEAMSHIP & ROWBOAT ON COVER; MUSICAL PROGRAM ON BACK COVER;,1900-2136,,,1900-02-25,Hamburg Amerika Linie,,,,complete,4,28,4.5
58,12526,,UNION HOTEL & RESTAURANT,DINNER,COMMERCIAL,,BROADSIDE; ILLUS; 5.5X10;,OTHER (DAILY);,"A LA CARTE, PRICED MENU; EAGLE & FLAG AT TOP OF MENU;",1900-2139,,,1900-02-26,Union Hotel & Restaurant,,Dollars,$,complete,2,71,5.5
59,12527,,CUNARD LINE,DINNER,COMMERCIAL,"R.M.S. ""CAMPANIA""",CARD; ILLUS; COL; 4.5X6.5;,OTHER (DAILY);,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2140,,,1900-02-26,Cunard Line,,,,complete,2,93,4.5
60,12528,,CUNARD LINE,LUNCHEON,COMMERCIAL,"R.M.S. "" CAMPANIA""",CARD; ILLUS; COL; 4.5X6.5;,OTHER (DAILY);,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2142,,,1900-02-26,Cunard Line,,Dollars,$,complete,2,87,4.5
61,12529,,NEW YORK MEDICAL CLUB,DINNER,PROF;,"MANHATTAN HOTEL, NEW YORK, NY",FOLDER; ILLUS; COL; 3X4.5;,,LISTS WINES SERVED WITH INDIVIDUAL COURSES; DECORATIVE WREATH ON COVER;,1900-2144,,,1900-02-26,New York Medical Club,,,,complete,4,17,3.0
62,12530,,RED STAR LINE,BREAKFAST,COMMERCIAL,"S.S. ""WESTERNLAND""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,VIOLET SCRIPT PRINTED MENU; MARITIME SCENE ON MENU;,1900-2148,,,1900-02-26,Red Star Line,,,,complete,2,16,5.0
63,12531,,RED STAR LINE,BREAKFAST,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,FRENCH & ENGLISH; VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP OF MENU;,1900-2150,,,1900-02-26,Red Star Line,,,,complete,2,18,5.0
64,12532,,RED STAR LINE,LUNCH,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,VIOLET SCRIPT PRINTING; DECORATIVE WREATH;,1900-2151,,,1900-02-26,Red Star Line,,,,complete,2,18,5.0
65,12533,,RED STAR LINE,DINNER,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,"VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP; PRICED WINE, TOBACCO LIST ON BACK OF MENU;",1900-2152,,,1900-02-26,Red Star Line,,Belgian Francs,BEF,complete,2,55,5.0
66,12534,,PABST BLUE RIBBON,DINNER,COMMERCIAL,PABST BLUE RIBBON,CARD; ILLUS; COL; 5.25X7.75;,,LOGO OF PABST BLUE RIBBON;,1900-2381,,,1900-03-11,Pabst Blue Ribbon,,Dollars,$,complete,2,52,5.25
67,12535,,MAXWELL HOUSE,DINNER,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, [TN];",BROADSIDE; ILLUS; 5.75X7.5;,,"ILLUS, PICTURE OF HOTEL;",1900-2386,,,1900-03-11,Maxwell House,,,,complete,2,30,5.75
68,12536,,MAXWELL HOUSE,LUNCHEON,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, [TN];",BROADSIDE; 4.25X6.0;,,,1900-2388,,,1900-03-11,Maxwell House,,,,complete,2,23,4.25
69,12537,,CUNARD LINE,BREAKFAST,COMMERCIAL,R.M.S. ETRURIA,CARD; ILLUS; COL; 4.5X6.5;,,RED FLAG WITH LION HOLDING GLOBE OF WORLD; PRICED WINE LIST;,1900-2389,,,1900-03-11,Cunard Line,,,,complete,2,90,4.5
70,12538,,HADDON HALL,DINNER,COMMERCIAL,"ATLANTIC CITY, NJ",CARD; 5 X 8;,,LOGO; NOTE ABOUT PURITY OF WATER;,1900-2598,,,1900-03-27,Haddon Hall,,,,complete,2,53,5.0
71,12539,,GOULD'S HOTEL CAFE,DAILY MENU,COMMERCIAL,BOSTON; MA,FOLDER; 8.5 X 12;,,PRICED MENU; PRICED WINE LIST; EXTENSIVE OYSTER AND CLAM MENU;,1900-2611,,,1900-03-29,Gould's Hotel Cafe,,Dollars,$,complete,4,539,8.5
72,12545,,GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 TO 3;00,COMMERCIAL,"137 E. MADISON ST.,CHICAGO,ILL.",FOLDER; ILL; COL; 4.5 X 10.75;,,LIST OF VAUDEVILLE ENTERTAINERS FOR THE WEEK;,1900-2618,,,1900-03-30,German Restaurant & Buffet,,Dollars,$,complete,4,113,4.5
73,12546,,MR. JOHN MORGAN,DINNER TO THE BOARD OF OFFICERS OF THE CATHOLIC CLUB OF THE CITY OF NEW YORK,RELIG;,"CATHOLIC CLUB, BANQUET HALL,NY",FOLDER;COL;7.5X7.5;,COMPLIMENTARY/TESTIMONIAL,WINES;RIBBON AT LEFT;,1901-1547,,,1901-06-06,Mr. John Morgan,,,,complete,4,19,7.5
74,12549,,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS VENTURA;,CARD;ILLUS;COL;5.5X7;,DAILY;,CARD;FLAG;,1901-1552,,,1901-06-06,Oceanic Steamship Company,,,,complete,2,35,5.5
75,12550,,OCEANIC STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS VENTURA;,CARD;ILLUS;COL;5.5X8.5;,DAILY;,CARD;FLAG;,1901-1553,,,1901-06-06,Oceanic Steamship Company,,,,complete,2,42,5.5
76,12551,,NORDDEUTSCHER LLOYD  BREMEN,SUPPER(?),COMMERCIAL,EN ROUTE ABOARD KONIGIN LUISE,"CARD, ILLUS; COL; 5.5 X 8;",,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF ROW BOAT. STEAMER AND ROCKY SHORE; SIMPLER MENU THAN 1901-1554; BACK SET UP FOR USE AS POSTCARD;,1901-1557,,,1901-06-06,Norddeutscher Lloyd  Bremen,,,,complete,2,20,5.5
77,12552,,RHODE ISLAND MEDICAL SOCIETY,DINNER,PROF;,"PROVIDENCE, RI",CARD; 4.25 X 6.75;,ANNIVERSARY(?);,PLACE HANDWRITTEN BY FEB;,1901-1558,,,1901-06-06,Rhode Island Medical Society,,,,complete,2,18,4.25
78,12553,,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,CARD;ILLUS; COL; 5.5 X 8.5;,,CARD;FLAG;,1901-1560,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,39,5.5
79,12554,,HOTEL DEL CORONADO,LUNCHEON,COMMERCIAL,"CORONADO BEACH, CA",CARD; 4.5X7.5;,,MUSIC PROGRAMME LISTED ON MENU;,1900-4113,,,1900-08-21,Hotel Del Coronado,,,,complete,2,58,4.5
80,12555,,LONG BEACH HOTEL,ANNUAL OUTING OF EDWARD THOMPSON CO.,COMMERCIAL,"LONG BEACH, LI, [NY];",BROADSHEET; 4.5X7.0;,,,1900-4117,,,1900-08-21,Long Beach Hotel,,,,complete,2,20,4.5
